FUIG POLL,'42.8119569',-1.6335743,PZA. CONDE RODEZNO 11 - ENTREPLANTA - OFICINA 6, 31004 PAMPLONA, Spain
GASTEIZ,'42.8124541',-1.6404049,C/ NAVARRO VILLOSLADA 4, 31003 PAMPLONA, Spain
GLOW,'42.811744',-1.6382366,C/ TAFALLA 20, 31003 PAMPLONA, Spain
GORRICHO SISTEMAS DE DESCANSO,'42.8120221',-1.6449038,C/ YANGUAS Y MIRANDA 19, 31003 PAMPLONA, Spain
INDA,'42.8117971',-1.6392187,C/ PAULINO CABALLERO 18, 31003 PAMPLONA, Spain
INTERSPORT IRABIA,'42.8126251',-1.6438629,AVDA. CONDE OLIVETO 5, 31003 PAMPLONA, Spain
INTERSPORT IRABIA,'42.8063227',-1.6719182,C/ BENJAMÍN DE TUDELA 2, 31008 PAMPLONA, Spain
J.M. EZCURDIA,'42.8107381',-1.637771,C/ PAULINO CABALLERO 41, 31003 PAMPLONA, Spain
JOYEL,'42.8114283',-1.6368474,C/ GORRITI 37, 31004 PAMPLONA, Spain
KERACONTACT - CENTRO NAVARRO DE LENTES DE CONTACTO,'42.8118048',-1.6352687,PZA. BLANCA DE NAVARRA 10, 31004 PAMPLONA, Spain
KIDE,'42.8105421',-1.6399276,C/ TAFALLA 33, 31003 PAMPLONA, Spain
KILO ROPA,'42.8136396',-1.6381603,C/ TEOBALDOS 2, 31002 PAMPLONA, Spain
KOALA,'42.8115741',-1.6386991,C/ PAULINO CABALLERO 29, 31003 PAMPLONA, Spain
LA CASA DE LOS QUESOS,'42.4815627',-1.6501877,AVDA. CARLOS III 51 (ENTRADA  C/TAFALLA 15), 31004 PAMPLONA, Spain
LA MAR SALADA,'42.8144979',-1.638681,C/ LEYRE 12, 31002 PAMPLONA, Spain
LA SILLA,'42.8149404',-1.638635,C/ OLITE 4, 31002 PAMPLONA, Spain
LANERA NAVARRA,'42.8122614',-1.6373515,C/ TAFALLA 14, 31004 PAMPLONA, Spain
LAZARAU,'42.8100156',-1.641463,C/ SAN FERMÍN 14 - ENTREPLANTA, 31003 PAMPLONA, Spain
LE CARROUSEL,'42.8119562',-1.6421227,C/ SANGÜESA 4, 31003 PAMPLONA, Spain
LEONCE,'42.8103807',-1.6372322,C/ CASTILLO DE MAYA 44, 31003 PAMPLONA, Spain
LOFT 47,'42.8116633',-1.6396574,C/ SAN FERMÍN 47, 31003 PAMPLONA, Spain
LOLAS,'42.8121001',-1.6406427,C/ BERGAMÍN 15, 31003 PAMPLONA, Spain
M.2,'42.8102429',-1.6362482,AVDA. CARLOS III 48, 31004 PAMPLONA, Spain
MASSADA,'42.8112158',-1.6421102,C/ NAVARRO VILLOSLADA 15, 31003 PAMPLONA, Spain
MASSALIA,'42.8123795',-1.6412288,C/ BERGAMÍN 4, 31003 PAMPLONA, Spain
MDM RELOJEROS,'42.8136071',-1.6440869,C/ GARCÍA XIMÉNEZ 3, 31002 PAMPLONA, Spain
MENDI KIROLAK,'42.8098952',-1.6376284,C/ CASTILLO DE MAYA 45, 31003 PAMPLONA, Spain
MOKA,'42.8121971',-1.6374584,C/ TAFALLA 16, 31004 PAMPLONA, Spain
MONTIEL JOYERO,'42.8106861',-1.6364936,AVDA. CARLOS III 50, 31004 PAMPLONA, Spain
MOTHERCARE,'42.8104053',-1.6367675,C/ CASTILLO DE MAYA 39, 31003 PAMPLONA, Spain
MUEBLES SASKIA,'42.8233984',-1.6461553,C/ ERROTAZAR 7, 31014 PAMPLONA, Spain
NAF NAF,'42.8115939',-1.6427314,C/ PADRE CALATAYUD 1, 31003 PAMPLONA, Spain
NAPALI,'42.7873391',-1.6471611, C.C. LA MOREA , 31191 CORDOVILLA, Spain
NAVARRAVIVIENDAS.NET,'42.8093238',-1.635906,PZA. CONDE RODEZNO 10, 31004 PAMPLONA, Spain
NECK & NECK,'42.8138782',-1.6436276,C/ GARCÍA XIMÉNEZ 4, 31002 PAMPLONA, Spain
NEXOR ASESORES,'42.8156333',-1.6367864,C/ LEYRE 4 - OFICINA C, 31002 PAMPLONA, Spain
NOVOSOFT,'42.8142568',-1.6432837,PASEO SARASATE 19 - PLANTA 2, 31002 PAMPLONA, Spain
OGIBERRI,'42.8126041',-1.6428543,AVDA. ZARAGOZA 2 (ESQUINA CON PZA PRÍNCIPE DE VIANA), 31003 PAMPLONA, Spain
OPTILAB,'42.8147217',-1.6394749,C/ AMAYA 1, 31002 PAMPLONA, Spain
ORLA,'42.8049504',-1.6630201,AVDA. PÍO XII 12, 31008 PAMPLONA, Spain
P. CHOCARRO,'42.8118363',-1.6427441,C/ LEYRE 19, 31003 PAMPLONA, Spain
PABLOOCHOA.SHOES,'42.8121679',-1.6378986,AVDA. CARLOS III 47, 31004 PAMPLONA, Spain
PAPI, MAMI Y YO, 2.0,'42.8107254',-1.639604,C/ TAFALLA 29, 31003 PAMPLONA, Spain
PEDALIER,'42.811671',-1.6343372,PZA. BLANCA DE NAVARRA 4, 31004 PAMPLONA, Spain
PEDRO BUENO BOUTIQUE,'42.8142568',-1.6432837,C/ BERGAMÍN 1 BIS, 31002 PAMPLONA, Spain
PEDRO BUENO JOYERO,'42.8142568',-1.6432837,C/ ARRIETA 18 (ANTIGUA BERGAMÍN, 3), 31002 PAMPLONA, Spain
PELEGRIN JOYEROS,'42.8123795',-1.6412288,C/ BERGAMÍN 4, 31003 PAMPLONA, Spain
PIEDAD FIRMAS,'42.8143721',-1.6388849,C/ LEYRE 14, 31002 PAMPLONA, Spain
PLAN B,'42.8114733',-1.6384048,C/ TAFALLA 21, 31004 PAMPLONA, Spain
RADIO FAR,'42.8129216',-1.6437844,AVDA. CONDE OLIVETO 2, 31002 PAMPLONA, Spain
RECAMBIOS RYUM,'42.810345',-1.6399836,C/ SANGÜESA 11, 31003 PAMPLONA, Spain
RECREARTE,'42.8141494',-1.6499891,C/ SANDOVAL 6, 31002 PAMPLONA, Spain
RESTAURANTE ALHAMBRA,'42.8126129',-1.6412187,C/ BERGAMÍN 7, 31003 PAMPLONA, Spain
RESTAURANTE EL MERCAO,'42.8131572',-1.6355563,C/ TAFALLA 5-7, 31004 PAMPLONA, Spain
RESTAURANTE ENEKORRI,'42.8077707',-1.6732487,C/ TUDELA 14, 31003 PAMPLONA, Spain
SABOYA HOMBRE,'42.8108461',-1.6432515,AVDA. ZARAGOZA 7, 31003 PAMPLONA, Spain
SABOYA MUJER,'42.8116503',-1.6431022,C/ LEYRE 21, 31003 PAMPLONA, Spain
SAIDE CARLOS III,'42.8146565',-1.6427397,C/ CORTES DE NAVARRA 7, 31002 PAMPLONA, Spain
SAIDE OLITE,'42.8105315',-1.633716,C/ OLITE 40, 31004 PAMPLONA, Spain
SANTIVERI,'42.8146988',-1.6407178,AVDA. CARLOS III 13-15, 31002 PAMPLONA, Spain
SENSEBENE,'42.8119569',-1.6335743,C/ MONJARDÍN FRENTE Nº7, 31004 PAMPLONA, Spain
SKINC,'42.8109971',-1.6361663,C/ CASTILLO DE MAYA 38, 31004 PAMPLONA, Spain
SKUNKFUNK,'42.8150927',-1.6390138,C/ ARRIETA 7, 31002 PAMPLONA, Spain
STORE STEAM,'42.8113426',-1.6422094,C/ NAVARRO VILLOSLADA 14, 31003 PAMPLONA, Spain
SUKOT,'42.812724',-1.6402439,C/ PAULINO CABALLERO 10, 31003 PAMPLONA, Spain
THE BODY SHOP,'42.8109361',-1.6365262,AVDA. CARLOS III 63, 31004 PAMPLONA, Spain
TIEMPO BADABUM,'42.8108655',-1.6313686,C/ CIPRIANO OLASO 4, 31004 PAMPLONA, Spain
TIPI,'42.8146988',-1.6407178,AVDA. CARLOS III 13-15, 31002 PAMPLONA, Spain
TOCATEJA,'42.8106071',-1.6376178,C/ PAULINO CABALLERO 43, 31003 PAMPLONA, Spain
TODOCARTUCHO,'42.8108702',-1.640905,C/ SANGÜESA 18, 31003 PAMPLONA, Spain
TOUS,'42.8138933',-1.6403239,AVDA. CARLOS III 14, 31002 PAMPLONA, Spain
TRES EN RAYA,'42.8116138',-1.6418339,C/ SANGÜESA 12, 31003 PAMPLONA, Spain
VAPEOS,'42.8099404',-1.6368929,C/ PAULINO CABALLERO 49, 31004 PAMPLONA, Spain
VENTANAS GORRITI,'42.8116726',-1.6366865,C/ GORRITI 22, 31004 PAMPLONA, Spain
VIAJES MARFIL,'42.8146988',-1.6407178,AVDA. CARLOS III 13-15, 31002 PAMPLONA, Spain
VIAJES SARASATE,'42.812251',-1.6386521,C/ SAN FERMÍN 37, 31003 PAMPLONA, Spain
VILLA MIRANDA,'42.8149611',-1.6441176,C/ GARCÍA CASTAÑÓN 4, 31002 PAMPLONA, Spain
YVES ROCHER,'42.8114608',-1.637337,AVDA. CARLOS III 55, 31003 PAMPLONA, Spain
ZAPATOS CARACOL,'42.809711',-1.6369087,C/ PAULINO CABALLERO 46, 31004 PAMPLONA, Spain
ZAPI,'42.811912',-1.641269,C/ NAVARRO VILLOSLADA 10, 31003 PAMPLONA, Spain
