CHARGUI,'Calle Paulino Caballero, 24, 31003 Pamplona, Navarre, Spain',42.8115388,-1.6389239
CIENHILOS,'Calle Navarro Villoslada, 2, 31003 Pamplona, Navarre, Spain',42.8125379,-1.6402761
CLARKS,'Avenida Carlos III, 16, 31002 Pamplona, Navarre, Spain',42.8138041,-1.6402162
CLÍNICA DENTAL LA VAGUADA,'Calle de Francisco Bergamin Kalea, 41, 31004 Pamplona, Navarre, Spain',42.8094754,-1.6377321
COCHECITOS PÉREZ,'Calle Amaya, 33, 31004 Pamplona, Navarre, Spain',42.8101308,-1.6343607
COCHECITOS PÉREZ,'Polígono Noáin-Esquíroz-O, 6, Polígono Industrial Noáin-Esquíroz, 31110, Navarre, Spain',42.7735626,-1.6362089
COCHECITOS PÉREZ,'Calle García Castañón, 12, 31002 Pamplona, Navarre, Spain',42.8142983,-1.6433752
COLCHONERÍA GORRICHO,'Calle Benjamín de Tudela, 8, 31008 Pamplona, Navarre, Spain',42.8068201,-1.6725225
COLCHONERÍA GORRICHO,'31003 Pamplona, Navarre, Spain',42.8100156,-1.641463
COLCHONERÍA SANCHO EL FUERTE,'Plaza Príncipe de Viana, 3, 31003 Pamplona, Navarre, Spain',42.8124692,-1.6427849
COMERCIAL ONENA,'Calle Aoiz, 37, 31004 Pamplona, Navarre, Spain',42.8085354,-1.6361952
CONFITURAS GOYA,'31003 Pamplona, Navarre, Spain',42.8100156,-1.641463
CRISTAL,'Calle Castillo de Maya, 37, 31004 Pamplona, Navarre, Spain',42.8108452,-1.6360097
CUADRADO,'Calle Cortes de Navarra, 3, 31002 Pamplona, Navarre, Spain',42.8151187,-1.6419695
CUCADAS,'Avenida Carlos III, 30, 31003 Pamplona, Navarre, Spain',42.8117026,-1.63787
DANA MODELS AGENCY,'Calle Olite, 12, 31002 Pamplona, Navarre, Spain',42.8143473,-1.6379767
DANIELI JOYEROS,'Calle de Francisco Bergamin Kalea, 7, 31003 Pamplona, Navarre, Spain',42.8126129,-1.6412187
DE BEAUMONT,'C/ Sangüesa, 10, 31003 Pamplona, Navarre, Spain',42.8117469,-1.6418716
DEBOCA,'Calle Monte Monjardín, 9, 31006 Pamplona, Navarre, Spain',42.8067895,-1.635073
DECORACIÓN MARIA PURROY,'Calle Paulino Caballero, 35, 31003 Pamplona, Navarre, Spain',42.8111902,-1.6382744
DEJAVU MODELS,'Calle Aoiz, 18, 31004 Pamplona, Navarre, Spain',42.8087047,-1.6363028
DESCANSO Y MASH,'Avenida Carlos III, 63, 31003 Pamplona, Navarre, Spain',42.8108552,-1.6366599
DEVORÉ,'C/ Arrieta, 27, 31002 Pamplona, Navarre, Spain',42.8133734,-1.6418358
DOBLE A DE SCRAP,'Calle Iturralde y Suit, 15, 31004 Pamplona, Navarre, Spain',42.8105601,-1.6348182
DONDE SIEMPRE,'Calle de los Teobaldos, 1, 31002 Pamplona, Navarre, Spain',42.8134687,-1.638748
DRESS,'Calle García Ximénez, 4, 31002 Pamplona, Navarre, Spain',42.8138782,-1.6436276
DSKRA2,'Calle Cortes de Navarra, 3, 31002 Pamplona, Navarre, Spain',42.8151187,-1.6419695
EGUZKILORE ARREGLOS DE ROPA,'Nafarroa Behereko Etorbidea, 22, 31004 Pamplona, Navarre, Spain',42.8133119,-1.6368939
EL CALI,'Calle Amaya, 18, 31004 Pamplona, Navarre, Spain',42.8125894,-1.6373732
