"INTERSPORT IRABIA II","42.8063227","-1.6719182"
"ÍNTIMO XARMANT","42.8128631","-1.6380359"
"J.M. EZCURDIA","42.8107381","-1.637771"
"JAKOBITOS CARNICERÍA","42.8112304","-1.6388076"
"JAVIER ECHEVERRÍA JOYERO","42.814572","-1.641941"
"JOYEL","42.8114283","-1.6368474"
"JOYERÍA MUÑOZ","42.8124692","-1.6427849"
"JOYERÍA NANDO","42.8146341","-1.6432324"
"JOYERÍA P.J. OZCOIDI","42.8146988","-1.6407178"
"JOYERÍA RELOJERÍA CHUS EZPELETA","42.8133987","-1.6444979"
"JOYERÍA RELOJERÍA JESÚS GARCÍA","42.8135245","-1.6374977"
"JOYERÍA RUBÍ BASIC","42.8134298","-1.6427916"
"KERACONTACT - CENTRO NAVARRO DE LENTES DE CONTACTO","42.8118048","-1.6352687"
"KIDE","42.8105421","-1.6399276"
"KILO ROPA","42.8136396","-1.6381603"
"KOALA","42.8115741","-1.6386991"
"LA BARBERÍA DE MAITE ARBEA","42.8114315","-1.6333906"
"LA CASA DE LOS QUESOS","42.4815627","-1.6501877"
"LA HELADERÍA DE EL OBRADOR","42.8129754","-1.6434024"
"LA MAR SALADA","42.8144979","-1.638681"
"LA SILLA","42.8149404","-1.638635"
"LANERA NAVARRA","42.8122614","-1.6373515"
"LAZARAU","42.8100156","-1.641463"
"LE CARROUSEL","42.8119562","-1.6421227"
"LEONCE","42.8103807","-1.6372322"
"LIBRERÍA EL PARNASILLO","42.8098952","-1.6376284"
"LIBRERÍA WALDEN","42.8113002","-1.6383968"
"LOFT 47","42.8116633","-1.6396574"
"LOLAS","42.8121001","-1.6406427"
"M.2","42.8102429","-1.6362482"
"MARIAN LÍNEA ÍNTIMA","42.8122614","-1.6373515"
"MASSADA","42.8112158","-1.6421102"
"MASSALIA","42.8123795","-1.6412288"
"MDM RELOJEROS","42.8136071","-1.6440869"
"MEDICAL ÓPTICA","42.814081","-1.6447157"
"MENDI KIROLAK","42.8098952","-1.6376284"
"MOKA","42.8121971","-1.6374584"
"MONTIEL JOYERO","42.8106861","-1.6364936"
"MOTHERCARE","42.8104053","-1.6367675"
"MUEBLES SASKIA","42.8233984","-1.6461553"
"NAF NAF","42.8115939","-1.6427314"
"NAPALI","42.7873391","-1.6471611"
"NAVARRAVIVIENDAS.NET","42.8093238","-1.635906"
"NECK & NECK","42.8138782","-1.6436276"
"NEXOR ASESORES","42.8156333","-1.6367864"
"NOVOSOFT","42.8142568","-1.6432837"
"OGIBERRI","42.8126041","-1.6428543"
